,Date,Code,Value,Source
0,30/01,FUEV,280,NN
1,30/01,HPG,248,NN
2,30/01,SSI,71,NN
3,30/01,VND,50,NN
4,30/01,HDB,47,NN
5,30/01,HCM,25,NN
6,30/01,POW,25,NN
7,30/01,FRT,24,NN
8,30/01,VIC,16,NN
9,31/01,HPG,173,NN
10,31/01,SSI,56,NN
11,31/01,HCM,25,NN
12,31/01,PNJ,23,NN
13,31/01,HDB,23,NN
14,31/01,VIC,19,NN
15,31/01,STB,13,NN
16,31/01,FRT,9,NN
17,31/01,VRE,6,NN
18,01/02,HPG,203,NN
19,01/02,HCM,49,NN
20,01/02,HDB,44,NN
21,01/02,STB,39,NN
22,01/02,BID,39,NN
23,01/02,PVD,25,NN
24,01/02,BVH,18,NN
25,01/02,VCB,13,NN
26,01/02,HSG,13,NN
27,02/02,HPG,136,NN
28,02/02,STB,100,NN
29,02/02,FUEV,38,NN
30,02/02,VIC,35,NN
31,02/02,SSI,28,NN
32,02/02,HCM,21,NN
33,02/02,VND,21,NN
34,02/02,DPM,18,NN
35,02/02,HDB,16,NN
36,03/02,STB,171,NN
37,03/02,HPG,107,NN
38,03/02,NVL,49,NN
39,03/02,VCB,31,NN
40,03/02,KBC,28,NN
41,03/02,CTG,26,NN
42,03/02,VIC,24,NN
43,03/02,SSI,21,NN
44,03/02,HDB,18,NN
45,06/02,STB,127,NN
46,06/02,SSI,42,NN
47,06/02,VCB,31,NN
48,06/02,VND,30,NN
49,06/02,KBC,29,NN
50,06/02,VIC,27,NN
51,06/02,VNM,24,NN
52,06/02,CTG,22,NN
53,06/02,HCM,17,NN
54,07/02,STB,176,NN
55,07/02,CTG,35,NN
56,07/02,E1VF,35,NN
57,07/02,VNM,24,NN
58,07/02,PLX,22,NN
59,07/02,GAS,17,NN
60,07/02,VRE,12,NN
61,07/02,BID,12,NN
62,07/02,HCM,12,NN
63,08/02,STB,204,NN
64,08/02,HPG,159,NN
65,08/02,DPM,52,NN
66,08/02,SSI,25,NN
67,08/02,HCM,24,NN
68,08/02,GAS,19,NN
69,08/02,CTG,16,NN
70,08/02,VND,13,NN
71,08/02,BVH,12,NN
72,09/02,STB,289,NN
73,09/02,HPG,32,NN
74,09/02,HCM,26,NN
75,09/02,SSI,18,NN
76,09/02,HSG,8,NN
77,09/02,MSB,6,NN
78,09/02,BMI,5,NN
79,09/02,PVD,5,NN
80,09/02,NVL,5,NN
0,30/01,DGC,-34,NN
1,30/01,KDC,-26,NN
2,30/01,VNM,-23,NN
3,30/01,VCB,-22,NN
4,30/01,BMP,-18,NN
5,30/01,VHM,-14,NN
6,30/01,PTB,-13,NN
7,30/01,VGC,-9,NN
8,30/01,NT2,-8,NN
9,31/01,VNM,-157,NN
10,31/01,ST8,-80,NN
11,31/01,DGC,-63,NN
12,31/01,VHM,-36,NN
13,31/01,KDH,-29,NN
14,31/01,VCB,-20,NN
15,31/01,FUEV,-19,NN
16,31/01,DPM,-18,NN
17,31/01,KBC,-18,NN
18,01/02,VHM,-103,NN
19,01/02,DGC,-42,NN
20,01/02,VNM,-39,NN
21,01/02,MSN,-34,NN
22,01/02,CTG,-32,NN
23,01/02,KDH,-31,NN
24,01/02,DPM,-29,NN
25,01/02,PVT,-21,NN
26,01/02,KBC,-19,NN
27,02/02,KBC,-47,NN
28,02/02,VHM,-30,NN
29,02/02,VNM,-10,NN
30,02/02,MSN,-9,NN
31,02/02,KDH,-9,NN
32,02/02,PVT,-9,NN
33,02/02,NVL,-8,NN
34,02/02,KDC,-6,NN
35,02/02,HAH,-6,NN
36,03/02,KDC,-11,NN
37,03/02,HHV,-10,NN
38,03/02,MSN,-9,NN
39,03/02,GMD,-8,NN
40,03/02,VNM,-8,NN
41,03/02,BMP,-8,NN
42,03/02,DCM,-7,NN
43,03/02,BCG,-6,NN
44,03/02,DIG,-4,NN
45,06/02,DPM,-48,NN
46,06/02,DXG,-17,NN
47,06/02,BID,-17,NN
48,06/02,PVT,-14,NN
49,06/02,KDH,-11,NN
50,06/02,DGC,-6,NN
51,06/02,HAH,-6,NN
52,06/02,BMP,-6,NN
53,06/02,DGW,-4,NN
54,07/02,HPG,-55,NN
55,07/02,VCB,-48,NN
56,07/02,VND,-32,NN
57,07/02,VHM,-32,NN
58,07/02,HSG,-31,NN
59,07/02,SHB,-27,NN
60,07/02,DGC,-26,NN
61,07/02,NKG,-24,NN
62,07/02,SSI,-20,NN
63,08/02,VHM,-117,NN
64,08/02,VNM,-25,NN
65,08/02,VIC,-18,NN
66,08/02,VHC,-17,NN
67,08/02,NVL,-15,NN
68,08/02,KDH,-14,NN
69,08/02,SHB,-14,NN
70,08/02,DXG,-11,NN
71,08/02,KDC,-8,NN
72,09/02,BCM,-86,NN
73,09/02,VHM,-61,NN
74,09/02,VNM,-56,NN
75,09/02,VIC,-38,NN
76,09/02,MSN,-24,NN
77,09/02,DGC,-20,NN
78,09/02,KDH,-14,NN
79,09/02,VCB,-13,NN
80,09/02,KBC,-13,NN
0,30/01,MBB,20,TD
1,30/01,VPB,19,TD
2,30/01,FPT,7,TD
3,30/01,PNJ,7,TD
4,30/01,REE,3,TD
5,30/01,OCB,3,TD
6,30/01,ACB,3,TD
7,30/01,DCM,3,TD
8,30/01,DPM,3,TD
9,31/01,FUEV,40,TD
10,31/01,GMD,9,TD
11,31/01,FUES,6,TD
12,31/01,HDB,2,TD
13,31/01,MSN,2,TD
14,31/01,VIB,2,TD
15,31/01,VCB,2,TD
16,31/01,VJC,2,TD
17,31/01,DGC,1,TD
18,01/02,VPB,38,TD
19,01/02,GMD,15,TD
20,01/02,VIB,9,TD
21,01/02,HT1,2,TD
22,01/02,NBB,2,TD
23,01/02,PTB,1,TD
24,01/02,HDG,1,TD
25,01/02,VCI,0,TD
26,01/02,SZC,0,TD
27,02/02,MWG,37,TD
28,02/02,VPB,27,TD
29,02/02,GMD,23,TD
30,02/02,FPT,23,TD
31,02/02,VNM,23,TD
32,02/02,MSN,22,TD
33,02/02,VIC,19,TD
34,02/02,ACB,18,TD
35,02/02,MBB,17,TD
36,03/02,GMD,161,TD
37,03/02,OCB,41,TD
38,03/02,MWG,16,TD
39,03/02,DXS,6,TD
40,03/02,NVL,2,TD
41,03/02,EIB,2,TD
42,03/02,FUES,1,TD
43,03/02,PNJ,1,TD
44,03/02,REE,1,TD
45,06/02,MWG,20,TD
46,06/02,GMD,8,TD
47,06/02,OCB,7,TD
48,06/02,KDH,3,TD
49,06/02,DXS,2,TD
50,06/02,FUES,2,TD
51,06/02,FUES,2,TD
52,06/02,PNJ,1,TD
53,06/02,PVD,1,TD
54,07/02,HPG,5,TD
55,07/02,VCB,2,TD
56,07/02,FUES,1,TD
57,07/02,HT1,1,TD
58,07/02,SAB,1,TD
59,07/02,SSI,1,TD
60,07/02,VIC,1,TD
61,07/02,VNM,0,TD
62,07/02,BID,0,TD
63,08/02,HPG,35,TD
64,08/02,VHM,20,TD
65,08/02,STB,19,TD
66,08/02,FPT,18,TD
67,08/02,VPB,18,TD
68,08/02,MWG,17,TD
69,08/02,VNM,16,TD
70,08/02,MSN,16,TD
71,08/02,ACB,14,TD
72,09/02,VSC,109,TD
73,09/02,BCM,84,TD
74,09/02,KDH,6,TD
75,09/02,FUES,1,TD
76,09/02,HDB,1,TD
77,09/02,EIB,0,TD
78,09/02,REE,0,TD
79,09/02,NLG,0,TD
80,09/02,LDG,0,TD
0,30/01,FUEV,-249,TD
1,30/01,E1VF,-124,TD
2,30/01,STB,-14,TD
3,30/01,HPG,-11,TD
4,30/01,SSI,-9,TD
5,30/01,NKG,-6,TD
6,30/01,PVP,-4,TD
7,30/01,HDB,-4,TD
8,30/01,IJC,-3,TD
9,31/01,MBB,-7,TD
10,31/01,HPG,-7,TD
11,31/01,VCI,-6,TD
12,31/01,FPT,-5,TD
13,31/01,PVD,-5,TD
14,31/01,SSI,-4,TD
15,31/01,HSG,-3,TD
16,31/01,LPB,-3,TD
17,31/01,BCM,-3,TD
18,01/02,HPG,-42,TD
19,01/02,VNM,-31,TD
20,01/02,VCB,-30,TD
21,01/02,STB,-27,TD
22,01/02,VIC,-25,TD
23,01/02,MSN,-25,TD
24,01/02,VHM,-25,TD
25,01/02,SSI,-21,TD
26,01/02,MWG,-19,TD
27,02/02,FUEV,-29,TD
28,02/02,E1VF,-24,TD
29,02/02,FUES,-4,TD
30,02/02,VIB,-2,TD
31,02/02,BCM,-2,TD
32,02/02,HSG,-1,TD
33,02/02,DCM,0,TD
34,02/02,DPM,0,TD
35,02/02,FUEV,0,TD
36,03/02,FUEV,-19,TD
37,03/02,BCM,-15,TD
38,03/02,HPG,-12,TD
39,03/02,E1VF,-11,TD
40,03/02,FUES,-7,TD
41,03/02,STB,-6,TD
42,03/02,MSN,-6,TD
43,03/02,VHM,-6,TD
44,03/02,VIC,-6,TD
45,06/02,FPT,-21,TD
46,06/02,VCB,-14,TD
47,06/02,VPB,-14,TD
48,06/02,ACB,-11,TD
49,06/02,FUEV,-11,TD
50,06/02,MSN,-11,TD
51,06/02,VNM,-10,TD
52,06/02,VIC,-10,TD
53,06/02,SSI,-9,TD
54,07/02,GMD,-198,TD
55,07/02,BCM,-93,TD
56,07/02,E1VF,-73,TD
57,07/02,OCB,-66,TD
58,07/02,STB,-22,TD
59,07/02,VPB,-21,TD
60,07/02,FUEV,-14,TD
61,07/02,MBB,-8,TD
62,07/02,NVL,-8,TD
63,08/02,FUEV,-15,TD
64,08/02,E1VF,-7,TD
65,08/02,GMD,-4,TD
66,08/02,BVH,-2,TD
67,08/02,OCB,-1,TD
68,08/02,VCI,-1,TD
69,08/02,HCM,-1,TD
70,08/02,SZC,0,TD
71,08/02,VND,0,TD
72,09/02,E1VF,-15,TD
73,09/02,VPB,-11,TD
74,09/02,FUEV,-9,TD
75,09/02,HPG,-9,TD
76,09/02,GMD,-7,TD
77,09/02,STB,-4,TD
78,09/02,VHM,-4,TD
79,09/02,VCB,-4,TD
80,09/02,TCB,-4,TD
